decision_idx,agent_x,agent_y,chosen_idx,subgoal_x,subgoal_y,R,k,termination,q_selected,num_valid,timestamp
1086,5.198804079815726,6.091395532878435,6,15.0,15.0,2.6294928970027223,10,MAX_STEPS,11.839507102966309,7,2629673
1096,6.08964037953473,3.875833480108926,2,7.745417792085655,-4.184520016942785,0.8199403752301542,10,MAX_STEPS,11.876116752624512,6,2629673
1106,3.835132764361267,2.943665236940333,0,-3.899965422304825,0.9352939631358975,0.3128882183412854,10,MAX_STEPS,11.90695571899414,7,2629673
1116,5.208748213466619,4.796254288004934,6,15.0,15.0,2.315412151139885,10,MAX_STEPS,11.928979873657227,7,2629673
1126,6.155679051020728,2.613619688969467,2,7.745417792085655,-4.184520016942785,0.7786617796164078,10,MAX_STEPS,11.957029342651367,7,2629673
1136,3.822567449701419,1.9421940141044902,0,-3.899965422304825,0.9352939631358975,0.3978000937224844,10,MAX_STEPS,11.979791641235352,7,2629673
1146,1.3435766965028688,1.6187676221314988,0,-3.899965422304825,0.9352939631358975,0.5115806616484486,10,MAX_STEPS,11.995062828063965,7,2629673
1156,2.875189391049391,-0.15834437680826802,2,7.745417792085655,-4.184520016942785,1.1114347831699114,10,MAX_STEPS,12.004350662231445,7,2629673
1166,0.5831067333359365,0.014810296319455553,0,-3.899965422304825,0.9352939631358975,0.5582641623036947,10,MAX_STEPS,12.012474060058594,7,2629673
1176,2.1172814146688745,1.8079112727340718,3,9.71735803852219,8.12265168862908,2.390283856497426,10,MAX_STEPS,,7,2629673
1186,-0.17787463193493458,1.665839155871583,0,-3.899965422304825,0.9352939631358975,0.38516126213130836,10,MAX_STEPS,12.027253150939941,7,2629673
1194,-2.1404652867690306,1.2808226832986427,0,-3.899965422304825,0.9352939631358975,2.620083743459374,8,SUBGOAL_REACHED,12.032293319702148,7,2629673
1204,-0.3890104092624464,2.9480125093300273,1,5.719643134462145,7.962250548245428,2.4967733513949386,10,MAX_STEPS,12.048909187316895,6,2629673
1214,1.5513141421079801,1.5799288357947467,2,7.745417792085655,-4.184520016942785,-0.19190636999476163,10,MAX_STEPS,,7,2629673
1224,-1.097161377813097,1.180267720723546,0,-3.899965422304825,0.9352939631358975,0.5459860175025466,10,MAX_STEPS,12.085939407348633,7,2629673
1234,0.3528252914497213,2.9915816853544612,1,5.719643134462145,7.962250548245428,2.318529540689358,10,MAX_STEPS,12.092841148376465,7,2629673
1244,-1.7403717004429566,2.0862498202291713,0,-3.899965422304825,0.9352939631358975,0.1637124333124076,10,MAX_STEPS,12.107377052307129,7,2629673
1246,-2.181698824151209,1.8512384059473537,0,-3.899965422304825,0.9352939631358975,2.5034117370873714,2,SUBGOAL_REACHED,12.113354682922363,7,2629673
